AREA_CONGEST_LVL,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,PPLTN_TIME,TEMP,SENSIBLE_TEMP,HUMIDITY,PRECIPITATION,UV_INDEX_LVL,PM25,PM10,GU_CONFIRMED,GU_ADDED,CONFIRMED,ADDED,DIED,T_DIED,장소명
여유,54.7,45.3,0.1,5.9,20.8,21.1,22.4,16.4,9.9,3.3,15.5,2023-02-19 8:30,3.4,5.4,92,-,0,54,75,300428,106,5906396,1980,6322,3,강남 MICE 관광특구
여유,51.9,48.1,0.1,4.2,20,22.1,17.9,18,11.5,6.2,14.4,2023-02-19 8:30,3.3,3.6,93,-,0,55,65,70984,17,5906396,1980,6322,3,동대문 관광특구
여유,52.6,47.4,0.7,5,20.9,23.5,19.2,16.7,9.8,4.1,10.6,2023-02-19 8:30,3.3,3.6,93,-,0,0,0,70984,17,5906396,1980,6322,3,명동 관광특구
여유,50.9,49.1,0.6,2,23.6,24.1,17.2,14.5,10.5,7.5,28.6,2023-02-19 8:30,3,3.7,92,-,0,59,68,121588,23,5906396,1980,6322,3,이태원 관광특구
여유,50.3,49.7,0.6,10.1,18.5,21.5,17.4,14.7,10.8,6.3,18.1,2023-02-19 8:30,3.3,5.9,85,~1mm,0,52,69,386243,126,5906396,1980,6322,3,잠실 관광특구
여유,57.7,42.3,0.3,4.2,23,17.2,16.5,18.9,13.2,6.8,16.6,2023-02-19 8:30,3.3,3.6,93,-,0,55,65,78986,30,5906396,1980,6322,3,종로·청계 관광특구
여유,49.6,50.4,0.2,6.6,31.4,22.1,14.5,11.9,7.7,5.7,20,2023-02-19 8:30,3.7,4.4,91,~1mm,0,47,52,219515,69,5906396,1980,6322,3,홍대 관광특구
여유,47,53,0.5,6.5,12.9,18.5,18.7,18.8,12.5,11.7,33.3,2023-02-19 8:30,3.3,3.6,93,-,0,55,65,78986,30,5906396,1980,6322,3,경복궁·서촌마을
여유,53,47,0.6,4.2,14.7,20.4,23.1,19.6,10.8,6.7,14.2,2023-02-19 8:30,3.3,3.6,93,-,0,55,65,78986,30,5906396,1980,6322,3,광화문·덕수궁
여유,52.3,47.7,0.2,6.6,21.2,17.9,15.9,18.2,12.3,7.8,20.7,2023-02-19 8:30,3.3,3.6,93,-,0,55,65,78986,30,5906396,1980,6322,3,창덕궁·종묘
여유,56.7,43.3,0.2,3.9,19.3,21.4,18.5,19.5,12.6,4.7,20.4,2023-02-19 8:30,3.3,4.3,92,-,0,54,74,133944,43,5906396,1980,6322,3,가산디지털단지역
여유,54.6,45.4,0.2,5.7,28.2,23.2,18.3,11.7,7.8,4.9,15.3,2023-02-19 8:30,3.4,5.4,92,-,0,55,68,300428,106,5906396,1980,6322,3,강남역
여유,47.9,52.1,0.1,4.8,33.8,16.9,12.6,13.6,10.3,7.9,19.5,2023-02-19 8:30,3,3.7,92,-,0,66,78,203813,68,5906396,1980,6322,3,건대입구역
여유,47.6,52.4,0.3,6.8,18.1,14.6,20.7,19.3,12.8,7.4,13.2,2023-02-19 8:30,3.8,4.4,100,-,0,55,68,232255,72,5906396,1980,6322,3,고속터미널역
여유,52.2,47.8,0.1,8.2,16.9,20.5,18.6,18.5,9.9,7.4,19.6,2023-02-19 8:30,3.4,5.4,92,-,0,55,68,232255,72,5906396,1980,6322,3,교대역
여유,54.5,45.5,0.4,2.9,19.3,25.8,19.8,14.6,10.8,6.3,23.2,2023-02-19 8:30,3.3,4.3,92,-,0,54,74,236569,67,5906396,1980,6322,3,구로디지털단지역
여유,54.6,45.4,0.4,5.6,17.1,21.6,21.8,17.8,10.6,5.1,13.8,2023-02-19 8:30,3.3,3.6,93,-,0,0,0,70984,17,5906396,1980,6322,3,서울역
여유,52.7,47.3,0.4,8.8,19.8,22.8,20.9,14.1,8.6,4.8,21.7,2023-02-19 8:30,3.4,5.4,92,-,0,54,75,300428,106,5906396,1980,6322,3,선릉역
여유,47.3,52.7,0,8.2,16.2,20.2,19.9,14.9,13.9,6.7,18,2023-02-19 8:30,1.5,2.8,92,~1mm,0,57,70,236569,67,5906396,1980,6322,3,신도림역
여유,54.9,45.1,0.1,4.6,38.3,24.5,11.7,10.1,6.4,4.2,17.7,2023-02-19 8:30,1.5,2.8,92,~1mm,0,47,69,292521,110,5906396,1980,6322,3,신림역
여유,46.4,53.6,0,6.4,53.3,15.9,8.1,7.7,4.9,3.7,18.1,2023-02-19 8:30,3.7,4.4,91,~1mm,0,47,61,219515,69,5906396,1980,6322,3,신촌·이대역
여유,55.7,44.3,0.2,4.2,26.2,25.2,20.6,12.2,7.1,4.4,19.9,2023-02-19 8:30,3.4,5.4,92,-,0,54,75,300428,106,5906396,1980,6322,3,역삼역
여유,49.7,50.3,0.4,3.6,19.7,18.7,15.5,16,15,11.1,17.2,2023-02-19 8:30,3.2,4.9,92,-,0,55,61,267491,86,5906396,1980,6322,3,연신내역
여유,46.8,53.2,0.8,6.3,18.9,22,18.9,17,10.7,5.3,12.1,2023-02-19 8:30,3,3.7,92,-,0,59,68,121588,23,5906396,1980,6322,3,용산역
